,team_id,win_pct,wins,games_played,games_left,home_win_pct,away_win_pct,prior_year_win_pct,ppg,apg,bpg,spg,fg%,3fg%,ft%,fta,rpg,orpg,drpg,to,fouls,fastbreak_points,second_chance_ppg,ppg_off_turnovers,points_in_paint,opponent ppg,opponent apg,opponent bpg,opponent spg,opponent fg%,opponent 3fg%,opponent ft%,opponent fta,opponent rpg,opponent orpg,opponent drpg,opponent to,opponent fouls,opponent fastbreak_points,opponent second_chance_ppg,opponent ppg_off_turnovers,opponent points_in_paint,remaining_wins
0,1610612760,0.79,19,24,58,0.83,0.75,0.7,115.79,26.0,6.38,12.17,0.47,0.35,0.81,19.08,43.75,10.67,33.08,11.04,20.96,17.08,13.5,23.21,49.67,103.79,24.25,5.04,7.04,0.43,0.34,0.74,25.21,47.92,12.62,35.29,18.54,18.0,12.38,15.92,12.67,41.75,49
1,1610612742,0.64,16,25,57,0.73,0.57,0.61,118.52,25.64,5.52,8.36,0.49,0.38,0.77,23.8,45.88,11.48,34.4,13.84,19.96,17.28,15.08,18.08,52.56,111.72,26.84,4.24,8.4,0.45,0.35,0.77,22.72,43.84,12.16,31.68,13.56,19.36,13.8,14.12,17.32,49.68,23
2,1610612749,0.54,13,24,58,0.69,0.36,0.6,113.42,23.88,5.62,7.12,0.49,0.39,0.72,23.21,42.71,8.12,34.58,13.42,18.54,13.04,10.83,16.29,42.75,112.29,25.29,4.04,7.75,0.45,0.35,0.83,20.58,44.67,10.88,33.79,12.04,19.75,16.5,12.67,18.08,46.58,35
3,1610612753,0.63,17,27,55,1.0,0.41,0.57,107.67,23.85,6.74,9.63,0.45,0.31,0.79,24.07,42.26,10.96,31.3,14.22,20.11,14.11,13.52,20.81,48.52,103.67,23.07,4.11,7.67,0.46,0.37,0.76,22.15,40.63,8.56,32.07,16.15,21.89,13.59,10.52,17.67,44.0,24
4,1610612761,0.28,7,25,57,0.46,0.08,0.3,112.32,28.56,4.76,7.72,0.47,0.34,0.74,22.4,46.28,13.36,32.92,15.72,22.24,17.64,16.68,17.68,55.68,117.2,26.04,6.2,9.64,0.46,0.36,0.78,26.96,42.72,11.24,31.48,13.04,19.16,16.24,14.56,20.76,49.36,23
5,1610612752,0.62,15,24,58,0.73,0.54,0.61,117.75,28.08,4.29,7.25,0.5,0.4,0.82,20.0,42.0,9.0,33.0,11.83,17.38,15.75,13.88,19.04,49.17,111.0,25.62,4.38,6.75,0.47,0.36,0.77,19.88,40.42,10.08,30.33,12.33,18.75,12.88,12.54,14.17,46.58,36
6,1610612747,0.54,13,24,58,0.73,0.38,0.58,112.12,26.71,4.71,7.88,0.47,0.35,0.79,23.75,40.25,9.0,31.25,12.54,16.33,16.33,11.96,17.21,50.83,115.75,28.96,4.04,7.67,0.48,0.37,0.78,19.0,44.33,11.08,33.25,13.79,20.67,18.42,15.04,16.92,52.17,36
7,1610612757,0.33,8,24,58,0.45,0.23,0.26,106.42,22.08,6.0,8.42,0.44,0.34,0.77,21.83,42.96,12.96,30.0,16.04,19.67,13.46,16.12,17.83,48.25,116.0,27.88,6.71,10.17,0.47,0.37,0.8,23.67,45.54,12.12,33.42,14.96,19.75,19.21,14.96,20.75,47.17,28
8,1610612758,0.48,12,25,57,0.46,0.5,0.56,116.4,25.84,4.88,8.16,0.49,0.34,0.79,22.64,43.16,9.88,33.28,13.24,20.24,13.28,14.48,19.28,48.4,113.2,25.6,4.08,8.16,0.46,0.38,0.82,22.52,41.76,9.96,31.8,14.64,19.4,11.16,13.48,17.4,42.96,28
9,1610612762,0.22,5,23,59,0.18,0.25,0.38,109.17,24.39,5.0,6.87,0.46,0.35,0.8,23.57,44.65,12.0,32.65,17.35,18.57,13.3,15.52,12.83,47.74,118.7,28.39,6.65,10.13,0.48,0.36,0.76,21.39,41.74,11.22,30.52,11.48,20.43,19.91,14.65,23.65,50.7,11
10,1610612746,0.56,14,25,57,0.6,0.5,0.62,108.68,24.6,4.28,9.36,0.46,0.37,0.78,21.16,44.64,11.36,33.28,15.12,18.88,15.52,13.44,19.52,49.28,107.36,24.84,5.24,9.48,0.46,0.34,0.75,21.28,41.6,9.4,32.2,14.68,18.2,15.72,11.92,19.12,46.32,35
11,1610612745,0.67,16,24,58,0.75,0.58,0.5,113.62,22.5,5.67,8.71,0.44,0.33,0.77,24.38,49.92,14.17,35.75,12.42,20.5,18.08,17.38,18.33,50.75,106.58,21.79,6.38,7.38,0.44,0.35,0.76,23.58,44.17,10.71,33.46,14.21,20.67,11.75,13.83,14.46,47.92,35
12,1610612744,0.61,14,23,59,0.64,0.58,0.56,114.13,29.22,5.26,8.96,0.45,0.37,0.71,21.78,48.65,13.09,35.57,13.74,20.65,16.83,14.74,19.04,48.09,109.17,25.91,6.22,7.57,0.44,0.34,0.77,23.78,45.83,11.13,34.7,14.35,18.3,12.22,13.22,15.83,43.48,34
13,1610612750,0.52,12,23,59,0.64,0.42,0.68,110.52,25.09,4.78,8.57,0.47,0.37,0.8,20.83,42.26,9.26,33.0,15.35,18.61,12.78,13.13,17.74,43.65,106.96,23.61,4.65,9.57,0.46,0.34,0.79,19.61,42.26,10.3,31.96,14.87,19.43,15.7,13.65,19.78,48.78,37
14,1610612764,0.14,3,22,60,0.17,0.1,0.18,107.64,24.36,5.64,8.05,0.44,0.31,0.77,21.59,42.91,10.36,32.55,15.5,21.86,15.18,12.77,14.73,50.0,123.82,28.18,6.09,9.23,0.49,0.37,0.78,26.55,48.0,12.0,36.0,12.82,19.09,16.73,15.68,20.68,52.82,16
15,1610612763,0.68,17,25,57,0.79,0.55,0.33,122.12,30.28,6.96,8.96,0.49,0.36,0.78,24.48,47.64,12.12,35.52,16.04,21.52,17.84,15.92,19.04,58.88,113.4,24.32,5.08,9.08,0.44,0.33,0.75,25.6,44.16,12.32,31.84,15.48,21.52,15.76,15.32,21.24,48.16,31
16,1610612759,0.5,12,24,58,0.6,0.33,0.27,111.38,27.92,6.46,7.71,0.45,0.34,0.81,23.08,44.79,11.21,33.58,14.25,16.54,14.04,12.17,17.62,45.83,113.08,25.67,4.67,8.54,0.47,0.36,0.79,19.12,44.25,11.42,32.83,13.04,19.21,16.21,15.12,17.04,48.42,22
17,1610612740,0.2,5,25,57,0.33,0.08,0.6,104.96,23.8,5.44,9.4,0.44,0.33,0.76,21.08,43.04,12.64,30.4,14.2,17.84,14.4,15.36,16.32,46.08,116.68,28.6,5.84,9.08,0.49,0.37,0.78,19.08,45.6,11.76,33.84,13.76,17.6,20.28,14.84,19.24,54.72,16
18,1610612756,0.52,12,23,59,0.67,0.36,0.6,113.0,26.83,4.87,7.65,0.47,0.38,0.79,23.22,43.26,9.3,33.96,13.48,18.39,15.26,11.78,17.7,40.96,113.87,26.22,4.39,8.26,0.47,0.37,0.8,21.52,44.0,10.65,33.35,12.13,19.83,15.87,13.13,16.7,50.35,24
19,1610612737,0.52,13,25,57,0.54,0.5,0.44,117.08,30.0,5.24,10.28,0.46,0.34,0.79,23.88,45.92,12.6,33.32,15.48,19.2,17.56,16.08,19.0,56.88,119.84,27.6,5.88,9.64,0.47,0.39,0.78,22.8,44.32,11.08,33.24,15.96,20.36,16.44,14.68,20.96,46.48,27
20,1610612743,0.55,12,22,60,0.6,0.5,0.7,118.68,30.86,4.82,8.82,0.49,0.39,0.74,25.23,44.5,11.09,33.41,13.86,18.5,19.32,14.09,20.23,56.91,116.77,29.86,5.86,8.68,0.47,0.36,0.76,20.55,44.45,12.32,32.14,14.18,21.09,17.36,15.5,17.05,52.36,38
21,1610612748,0.55,12,22,60,0.64,0.45,0.56,112.23,26.45,3.64,9.0,0.45,0.38,0.78,22.45,43.55,10.32,33.23,11.64,16.36,16.32,12.09,18.45,45.09,109.27,26.68,5.27,6.91,0.46,0.36,0.8,18.14,45.41,11.32,34.09,14.05,18.73,13.91,14.5,15.0,47.55,25
22,1610612739,0.84,21,25,57,0.93,0.73,0.59,121.4,28.08,4.72,8.84,0.51,0.4,0.77,20.56,43.08,9.04,34.04,12.36,18.6,15.28,11.96,20.76,52.64,111.48,25.44,4.72,7.36,0.46,0.36,0.8,21.04,43.68,10.84,32.84,14.6,18.52,15.28,13.36,16.12,45.76,43
23,1610612754,0.4,10,25,57,0.64,0.21,0.57,114.0,27.08,5.16,8.4,0.49,0.37,0.79,21.24,39.72,8.48,31.24,14.28,20.08,16.16,9.56,16.92,51.76,118.2,26.52,4.52,8.28,0.49,0.37,0.78,24.12,43.4,10.52,32.88,14.4,19.04,14.24,13.32,18.8,51.36,40
24,1610612766,0.29,7,24,58,0.36,0.2,0.26,107.08,23.0,4.92,7.75,0.43,0.37,0.76,18.46,45.17,13.0,32.17,15.12,21.21,12.92,17.5,15.83,39.42,112.58,25.88,5.42,7.75,0.47,0.37,0.76,23.25,42.46,9.92,32.54,13.62,18.92,13.96,12.92,19.29,46.83,11
25,1610612751,0.42,10,24,58,0.45,0.38,0.39,110.08,25.79,3.79,6.96,0.46,0.38,0.82,21.38,38.0,8.42,29.58,13.08,22.42,12.29,11.21,17.88,40.67,113.83,26.62,6.54,7.83,0.49,0.37,0.78,25.62,42.54,9.42,33.12,14.46,19.67,15.38,13.08,19.12,48.67,16
26,1610612741,0.4,10,25,57,0.25,0.54,0.48,119.12,29.36,4.64,7.16,0.48,0.39,0.8,19.52,44.16,8.76,35.4,14.96,18.36,17.92,12.36,15.76,47.52,123.0,29.52,5.0,8.6,0.49,0.35,0.77,22.36,46.24,10.24,36.0,11.52,16.72,16.8,13.24,17.88,57.6,29
27,1610612755,0.32,7,22,60,0.27,0.36,0.57,105.18,21.77,4.05,9.32,0.44,0.32,0.78,23.18,40.05,10.64,29.41,13.64,20.64,14.32,13.18,19.18,46.64,110.09,25.55,5.77,7.64,0.47,0.36,0.85,22.45,44.0,9.91,34.09,16.41,19.73,15.59,13.55,18.14,48.09,17
28,1610612738,0.79,19,24,58,0.77,0.82,0.78,120.12,25.71,5.62,7.38,0.46,0.37,0.81,22.21,44.04,10.46,33.58,11.29,16.75,13.08,13.5,16.67,39.83,110.71,24.29,3.92,6.88,0.47,0.35,0.76,18.71,44.0,10.0,34.0,13.0,19.42,14.46,12.25,13.92,51.67,42
29,1610612765,0.4,10,25,57,0.36,0.43,0.17,110.52,25.32,5.32,6.28,0.47,0.36,0.76,20.92,45.36,11.28,34.08,15.92,20.04,16.16,15.28,17.16,47.52,113.04,24.96,5.08,9.96,0.47,0.37,0.77,21.12,41.92,10.44,31.48,12.88,18.08,15.32,14.56,20.6,46.16,34
