,team_id,win_pct,wins,games_played,games_left,home_win_pct,away_win_pct,prior_year_win_pct,ppg,apg,bpg,spg,fg%,3fg%,ft%,fta,rpg,orpg,drpg,to,fouls,fastbreak_points,second_chance_ppg,ppg_off_turnovers,points_in_paint,opponent ppg,opponent apg,opponent bpg,opponent spg,opponent fg%,opponent 3fg%,opponent ft%,opponent fta,opponent rpg,opponent orpg,opponent drpg,opponent to,opponent fouls,opponent fastbreak_points,opponent second_chance_ppg,opponent ppg_off_turnovers,opponent points_in_paint,remaining_wins
0,1610612747,0.71,17,24,58,0.64,0.77,0.61,118.33,25.25,4.0,7.96,0.51,0.36,0.8,28.12,41.12,9.29,31.83,14.71,19.42,13.21,13.79,18.5,51.5,116.79,27.46,3.62,9.25,0.48,0.39,0.8,22.12,40.04,10.62,29.42,14.42,22.42,16.04,14.38,20.21,48.5,32
1,1610612759,0.71,17,24,58,0.82,0.62,0.42,120.08,25.92,4.67,8.5,0.49,0.37,0.8,26.25,44.83,11.38,33.46,14.0,20.62,16.12,16.33,18.54,50.25,115.42,27.25,4.25,7.88,0.47,0.38,0.78,22.83,41.12,9.92,31.21,13.71,22.04,12.17,13.88,16.38,47.67,17
2,1610612760,0.96,24,25,57,1.0,0.92,0.82,123.64,26.76,5.32,10.2,0.5,0.38,0.83,24.72,44.6,8.84,35.76,12.12,20.8,14.24,12.6,25.0,52.48,106.16,23.88,3.64,7.4,0.43,0.37,0.77,23.16,43.08,10.88,32.2,16.8,21.72,10.96,11.88,15.12,38.88,44
3,1610612756,0.56,14,25,57,0.67,0.46,0.44,114.8,25.36,3.96,10.84,0.47,0.37,0.79,21.24,42.28,12.6,29.68,15.12,22.2,14.16,15.68,21.76,45.92,114.44,25.84,4.44,8.8,0.48,0.37,0.81,23.68,41.72,10.96,30.76,16.36,19.52,14.36,14.44,21.56,49.92,22
4,1610612761,0.58,15,26,56,0.57,0.58,0.37,115.77,29.42,4.23,8.88,0.49,0.36,0.77,23.77,42.35,10.69,31.65,13.88,21.96,20.31,13.88,19.27,53.38,113.88,25.04,5.92,8.38,0.47,0.34,0.8,26.46,43.35,11.65,31.69,15.19,19.85,13.08,15.54,17.69,49.31,15
5,1610612752,0.71,17,24,58,0.93,0.4,0.62,120.54,26.92,4.38,8.29,0.48,0.38,0.8,23.46,46.08,13.79,32.29,12.62,20.67,14.79,18.12,18.75,48.08,111.92,25.12,4.21,6.83,0.46,0.37,0.77,23.5,40.83,9.88,30.96,14.38,20.54,14.5,14.33,17.12,44.17,34
6,1610612753,0.6,15,25,57,0.71,0.45,0.5,117.8,25.6,5.28,8.36,0.47,0.34,0.8,29.16,45.08,11.8,33.28,14.0,21.0,18.32,17.2,18.48,54.08,113.36,23.96,5.44,7.76,0.47,0.36,0.77,24.76,42.24,10.4,31.84,14.96,23.04,15.68,12.16,16.92,51.84,26
7,1610612748,0.56,14,25,57,0.77,0.33,0.45,121.72,29.44,4.76,8.72,0.48,0.37,0.79,25.6,45.4,10.32,35.08,13.6,19.8,18.44,15.04,19.8,56.72,118.2,26.96,5.24,8.44,0.45,0.34,0.79,23.56,48.56,13.32,35.24,14.72,20.56,15.36,17.2,17.36,52.72,23
8,1610612740,0.12,3,25,57,0.14,0.09,0.26,113.04,24.36,3.48,9.04,0.46,0.35,0.79,25.32,41.96,12.36,29.6,13.64,20.84,16.08,15.36,18.92,55.76,123.68,29.0,6.16,7.8,0.5,0.37,0.82,24.24,44.72,11.36,33.36,14.72,21.04,16.56,15.52,18.92,53.28,18
9,1610612750,0.62,15,24,58,0.67,0.58,0.6,119.62,26.5,4.96,8.12,0.49,0.38,0.78,26.58,43.33,10.88,32.46,14.38,22.38,13.42,14.38,18.29,50.17,114.75,25.17,3.83,8.08,0.46,0.36,0.77,26.58,42.88,11.62,31.25,13.83,22.25,14.0,13.46,18.04,50.5,34
